Player,Squad,Comp,Pos,Age,Min,90s,OffScore_abs,OffBand,MidScore_abs,MidBand,DefScore_abs,DefBand
Max Aarons,Bournemouth,eng Premier League,DF,24.0,86,1.0,,,,,,
Max Aarons,Valencia,es La Liga,DF,24.0,120,1.3,,,,,,
Rodrigo Abajas,Valencia,es La Liga,DF,21.0,65,0.7,,,,,,
James Abankwah,Udinese,it Serie A,DF,20.0,88,1.0,,,,,,
Yunis Abdelhamid,Saint-Étienne,fr Ligue 1,DF,36.0,1033,11.5,,,,,687.9451109081153,Top Starter
Himad Abdelli,Angers,fr Ligue 1,MF,24.0,2842,31.6,,,549.0626313700146,Top Starter,,
Mohamed Abdelmoneim,Nice,fr Ligue 1,DF,25.0,855,9.5,,,,,776.0414518378573,World Class
Ali Abdi,Nice,fr Ligue 1,DF,30.0,1393,15.5,,,,,620.043969620191,Top Starter
Saud Abdulhamid,Roma,it Serie A,DF,25.0,205,2.3,,,,,,
Nabil Aberdin,Getafe,es La Liga,MF,21.0,263,2.9,,,,,,
Oliver Abildgaard,Como,it Serie A,Def_MF,28.0,7,0.1,,,,,,
Matthis Abline,Nantes,fr Ligue 1,FW,21.0,2768,30.8,361.4409502215581,Solid Squad Player,,,,
Abner,Lyon,fr Ligue 1,DF,24.0,1090,12.1,,,,,575.172968132071,Top Starter
Zakaria Aboukhlal,Toulouse,fr Ligue 1,Off_MF,24.0,1901,21.1,469.6996509157772,Top Starter,,,,
Abdel Abqar,Alavés,es La Liga,DF,25.0,2463,27.4,,,,,588.4604382983127,Top Starter
Tammy Abraham,Milan,it Serie A,FW,26.0,1183,13.1,446.87118315790354,Top Starter,,,,
Federico Accornero,Genoa,it Serie A,MF,20.0,5,0.1,,,,,,
Francesco Acerbi,Inter,it Serie A,DF,36.0,1710,19.0,,,,,643.6018302847524,Top Starter
Joshua Acheampong,Chelsea,eng Premier League,DF,18.0,170,1.9,,,,,,
Akor Adams,Sevilla,es La Liga,FW,24.0,134,1.5,,,,,,
Akor Adams,Montpellier,fr Ligue 1,FW,24.0,1075,11.9,376.8540086150722,Solid Squad Player,,,,
Che Adams,Torino,it Serie A,FW,28.0,2652,29.5,387.9192137732307,Solid Squad Player,,,,
Tyler Adams,Bournemouth,eng Premier League,MF,25.0,1965,21.8,,,480.92187544285133,Top Starter,,
Junior Adamu,Freiburg,de Bundesliga,FW,23.0,1545,17.2,298.5772162773747,Solid Squad Player,,,,
Tosin Adarabioyo,Chelsea,eng Premier League,DF,26.0,1409,15.7,,,,,538.3972521515682,Top Starter
Martin Adeline,Reims,fr Ligue 1,Def_MF,20.0,26,0.3,,,,,,
Karim Adeyemi,Dortmund,de Bundesliga,FW,22.0,1433,15.9,714.7047158759292,Top Starter,,,,
Simon Adingra,Brighton,eng Premier League,FW,22.0,1097,12.2,371.3153144711791,Solid Squad Player,,,,
Amine Adli,Leverkusen,de Bundesliga,Off_MF,24.0,766,8.5,448.2529997883587,Top Starter,,,,
Yacine Adli,Fiorentina,it Serie A,MF,24.0,1234,13.7,,,839.4127088335131,World Class,,
Vasilije Adžić,Juventus,it Serie A,Off_MF,18.0,42,0.5,,,,,,
Michel Aebischer,Bologna,it Serie A,MF,27.0,724,8.0,,,377.1438881895538,Solid Squad Player,,
Oladapo Afolayan,St. Pauli,de Bundesliga,FW,26.0,1639,18.2,303.32556425078457,Solid Squad Player,,,,
Emmanuel Agbadou,Wolves,eng Premier League,DF,27.0,1410,15.7,,,,,642.7489272752435,Top Starter
Emmanuel Agbadou,Reims,fr Ligue 1,DF,27.0,1260,14.0,,,,,768.7983609623195,World Class
Asher Agbinone,Crystal Palace,eng Premier League,Off_MF,18.0,6,0.1,,,,,,
